,actors,awards,box_office,country,director,dvd,genre,imdb_id,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,ratings,released,response,runtime,title,total_seasons,type,website,writer,year
67,"Charles Bronson, Lesley-Anne Down, Michael Parks, Chuck Shamata",N/A,N/A,"Canada, USA",Allan A. Goldstein,N/A,"Action, Crime, Drama, Thriller",tt0109578,4.9,"6,861","English, Italian",25,"Paul Kersey is back at working vigilante justice when his fiancée, Olivia, has her business threatened by mobsters.",https://m.media-amazon.com/images/M/MV5BZTViYzMxMGItYzJlNC00MTc3LWI0MTAtNGM5NTJlMjUzODQ2L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,R,"[{'source': 'Internet Movie Database', 'value': '4.9/10'}, {'source': 'Metacritic', 'value': '25/100'}]",14 Jan 1994,True,95 min,Death Wish V: The Face of Death,,movie,N/A,"Brian Garfield (characters), Michael Colleary (story), Allan A. Goldstein (story), Allan A. Goldstein (screenplay)",1994
68,"Giuseppe Andrews, James DeBello, Edward Furlong, Sam Huntington",3 nominations.,N/A,USA,Adam Rifkin,N/A,"Comedy, Music",tt0165710,6.9,"35,014",English,33,"In 1978, four rebellious teenagers try to scam their way into a KISS concert.",https://m.media-amazon.com/images/M/MV5BMmU5ZTJmOWQtNTMwMi00NmIzLTk0ZTAtMjNkMTE4YTA0Yzg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"New Line Cinema, Base 12 Productions",R,"[{'source': 'Internet Movie Database', 'value': '6.9/10'}, {'source': 'Rotten Tomatoes', 'value': '48%'}, {'source': 'Metacritic', 'value': '33/100'}]",13 Aug 1999,True,95 min,Detroit Rock City,,movie,N/A,Carl V. Dupré,1999
69,"Chris Messina, Logan Marshall-Green, Jenny O'Hara, Bojana Novakovic",2 nominations.,N/A,USA,John Erick Dowdle,N/A,"Horror, Mystery, Thriller",tt1314655,6.2,"131,028","English, Ukrainian, Spanish",44,A group of people are trapped in an elevator and the Devil is mysteriously amongst them.,https://m.media-amazon.com/images/M/MV5BZDVmZGExMTEtNjk5OS00MTFkLWI0ZDMtNzg4YWFmNGY3NjRkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'source': 'Internet Movie Database', 'value': '6.2/10'}, {'source': 'Rotten Tomatoes', 'value': '50%'}, {'source': 'Metacritic', 'value': '44/100'}]",17 Sep 2010,True,80 min,Devil,,movie,N/A,"Brian Nelson (screenplay), M. Night Shyamalan (story)",2010
70,"Kirsten Dunst, Michelle Williams, Dan Hedaya, Will Ferrell",4 nominations.,N/A,"USA, Canada, France",Andrew Fleming,N/A,Comedy,tt0144168,6.1,"18,314",English,65,Two girls wander away from a White House tour and meet President Nixon.,https://m.media-amazon.com/images/M/MV5BNmUwZGUyOWYtMjJlMC00ODhhLWIxMDMtYjAwOGFmMGVjZTA1XkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_SX300.jpg,"Phoenix Pictures, Pacific Western",PG-13,"[{'source': 'Internet Movie Database', 'value': '6.1/10'}, {'source': 'Rotten Tomatoes', 'value': '71%'}, {'source': 'Metacritic', 'value': '65/100'}]",04 Aug 1999,True,94 min,Dick,,movie,N/A,"Andrew Fleming, Sheryl Longin",1999
71,"Matt Johnson, Owen Williams, Padraig Singal, Ross Hill",9 wins & 11 nominations.,N/A,Canada,Matt Johnson,N/A,"Comedy, Crime, Drama",tt2334896,6.9,"6,260",English,65,Two best friends are filming a comedy about getting revenge on the bullies at their high school. One of them isn't joking.,https://m.media-amazon.com/images/M/MV5BMjk5OTcyNDQ3M15BMl5BanBnXkFtZTgwMTk3NDgyMDE@._V1_SX300.jpg,XYZ Films,Not Rated,"[{'source': 'Internet Movie Database', 'value': '6.9/10'}, {'source': 'Rotten Tomatoes', 'value': '81%'}, {'source': 'Metacritic', 'value': '65/100'}]",06 Jun 2014,True,83 min,The Dirties,,movie,N/A,"Josh Boles (story), Matt Johnson, Matthew Miller (story editor), Evan Morgan",2013
72,"Michael Douglas, Sean Bean, Brittany Murphy, Skye McCole Bartusiak",1 nomination.,N/A,"USA, Australia, Switzerland, Canada",Gary Fleder,N/A,"Drama, Mystery, Thriller",tt0260866,6.3,"48,251","English, Italian, Chinese",38,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret...",https://m.media-amazon.com/images/M/MV5BNzM1OThlODItMTI5NC00ZDE1LWE4MzQtOTJiNDQ5NDAxZTBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"New Regency Pictures, Kopelson Entertainment",R,"[{'source': 'Internet Movie Database', 'value': '6.3/10'}, {'source': 'Rotten Tomatoes', 'value': '24%'}, {'source': 'Metacritic', 'value': '38/100'}]",28 Sep 2001,True,113 min,Don't Say a Word,,movie,N/A,"Andrew Klavan (novel), Anthony Peckham (screenplay), Patrick Smith Kelly (screenplay)",2001
73,"Jean-Claude Van Damme, Geoffrey Lewis, Alonna Shaw, Corinna Everson",2 nominations.,N/A,USA,Sheldon Lettich,N/A,"Action, Crime",tt0101764,5.6,"37,514",English,40,Twin brothers are separated when their parents are murdered but 25 years later they re-unite in order to avenge their parents' death.,https://m.media-amazon.com/images/M/MV5BNDFkNGY3Y2ItODA0MS00NWUwLWFjMTktZmEyYTQxZjFhMmZiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"Stone Group Pictures, Vision International",R,"[{'source': 'Internet Movie Database', 'value': '5.6/10'}, {'source': 'Rotten Tomatoes', 'value': '35%'}, {'source': 'Metacritic', 'value': '40/100'}]",09 Aug 1991,True,110 min,Double Impact,,movie,N/A,"Sheldon Lettich (screen story), Jean-Claude Van Damme (screen story), Steve Meerson (screen story), Peter Krikes (screen story), Sheldon Lettich (screenplay), Jean-Claude Van Damme (screenplay)",1991
74,"Alfre Woodard, Al Freeman Jr., Mary Alice, Esther Rolle",2 wins & 8 nominations.,N/A,USA,Maya Angelou,N/A,Drama,tt0142231,6.8,"1,609",English,73,Rosa Lynn sends her druggie daughter Loretta and her children Thomas and Tracy away from the big city to live with their uncle Earl in the ancestral home in rural Mississippi. Earl puts ...,https://m.media-amazon.com/images/M/MV5BMzMzNmQ3ODUtOWJmMC00NTEyLWJkNzktNDA0MzNkZTM4ZjE4XkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_SX300.jpg,"Chris/Rose Productions [us], Amen Ra Films, Showtime Networks Inc., C &amp; A Productions",PG-13,"[{'source': 'Internet Movie Database', 'value': '6.8/10'}, {'source': 'Rotten Tomatoes', 'value': '79%'}, {'source': 'Metacritic', 'value': '73/100'}]",25 Dec 1998,True,112 min,Down in the Delta,,movie,N/A,Myron Goble,1998
75,"Chris Rock, Regina King, Chazz Palminteri, Eugene Levy",3 nominations.,N/A,"Germany, Canada, Australia, USA","Chris Weitz, Paul Weitz",N/A,"Comedy, Fantasy",tt0231775,5.5,"21,472",English,32,"After dying before his time, an aspiring black comic gets a second shot at life - by being placed in the body of a wealthy white businessman.",https://m.media-amazon.com/images/M/MV5BNzNmODQ5N2QtMzEwMy00MjRmLWE1MzEtZmUyZmQ3ZmIzYmMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Paramount Pictures, NPV Entertainment, Village Roadshow Prod.",PG-13,"[{'source': 'Internet Movie Database', 'value': '5.5/10'}, {'source': 'Rotten Tomatoes', 'value': '20%'}, {'source': 'Metacritic', 'value': '32/100'}]",16 Feb 2001,True,87 min,Down to Earth,,movie,N/A,"Elaine May, Warren Beatty, Chris Rock (screenplay), Lance Crouther (screenplay), Ali LeRoi (screenplay), Louis C.K. (screenplay)",2001
76,"Gerard Butler, Christopher Plummer, Jonny Lee Miller, Justine Waddell",2 nominations.,N/A,USA,Patrick Lussier,20 Mar 2001,"Action, Fantasy, Horror, Thriller",tt0219653,4.9,"31,769",English,26,"A group of thieves breaks into a chamber expecting to find paintings, but instead they release the count himself, who travels to New Orleans to find his nemesis' daughter, Mary Van Helsing.",https://m.media-amazon.com/images/M/MV5BYzUxYzFlZjYtYWNiOC00ZmY0LThjMjYtMDdlNmRhNmY5MDRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Miramax,R,"[{'source': 'Internet Movie Database', 'value': '4.9/10'}, {'source': 'Metacritic', 'value': '26/100'}]",22 Dec 2000,True,99 min,Dracula 2000,,movie,N/A,"Joel Soisson (story), Patrick Lussier (story), Joel Soisson (screenplay)",2000
77,"Sylvester Stallone, Burt Reynolds, Kip Pardue, Stacy Edwards",1 win & 10 nominations.,N/A,"USA, Canada, Australia",Renny Harlin,N/A,"Action, Drama, Sport",tt0132245,4.6,"38,934","English, German, Spanish",29,A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.,https://m.media-amazon.com/images/M/MV5BMjA5MDk4NzI0NF5BMl5BanBnXkFtZTYwNjU0Nzc5._V1_SX300.jpg,Franchise Pictures,PG-13,"[{'source': 'Internet Movie Database', 'value': '4.6/10'}, {'source': 'Rotten Tomatoes', 'value': '14%'}, {'source': 'Metacritic', 'value': '29/100'}]",27 Apr 2001,True,116 min,Driven,,movie,N/A,"Jan Skrentny (story), Neal Tabachnick (story), Sylvester Stallone (screenplay)",2001
78,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon, Isabella Rossellini",17 wins & 23 nominations.,N/A,"Canada, Spain, France",Denis Villeneuve,N/A,"Drama, Mystery, Thriller",tt2316411,6.9,"164,770",English,61,A man seeks out his exact look-alike after spotting him in a movie.,https://m.media-amazon.com/images/M/MV5BMTQ2NzA5NjE4N15BMl5BanBnXkFtZTgwMjQ4NzMxMTE@._V1_SX300.jpg,N/A,R,"[{'source': 'Internet Movie Database', 'value': '6.9/10'}, {'source': 'Rotten Tomatoes', 'value': '70%'}, {'source': 'Metacritic', 'value': '61/100'}]",06 Feb 2014,True,91 min,Enemy,,movie,N/A,"José Saramago (novel), Javier Gullón",2013
79,"Angourie Rice, Justice Smith, Jeni Ross, Lucas Jade Zumann",1 nomination.,N/A,"Canada, UK, USA",Michael Sucsy,N/A,"Drama, Fantasy, Romance",tt7026672,6.4,"17,840",English,52,A shy teenager falls for a spirit who wakes up in the body of a different person every morning.,https://m.media-amazon.com/images/M/MV5BZTFiNzQ2OGUtYTdmMi00NjRjLWExN2MtZmNiODI4MTY3MGM3XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,"Silver Reel, Likely Story, MGM, FilmWave, Spy Kids 4 SPV",PG-13,"[{'source': 'Internet Movie Database', 'value': '6.4/10'}, {'source': 'Rotten Tomatoes', 'value': '63%'}, {'source': 'Metacritic', 'value': '52/100'}]",23 Feb 2018,True,97 min,Every Day,,movie,N/A,"Jesse Andrews (screenplay by), David Levithan (based on the novel by)",2018
80,"Jennifer Jason Leigh, Jude Law, Ian Holm, Willem Dafoe",3 wins & 14 nominations.,N/A,"UK, France, Canada",David Cronenberg,N/A,"Horror, Sci-Fi, Thriller",tt0120907,6.8,"92,540",English,68,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,https://m.media-amazon.com/images/M/MV5BMmU1MTJkYWItMzM5Ny00NDgxLTgxOGEtNTkzNDdkZjkwNGI0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Miramax,R,"[{'source': 'Internet Movie Database', 'value': '6.8/10'}, {'source': 'Rotten Tomatoes', 'value': '74%'}, {'source': 'Metacritic', 'value': '68/100'}]",23 Apr 1999,True,97 min,eXistenZ,,movie,N/A,David Cronenberg,1999
81,"Steven Seagal, DMX, Isaiah Washington, Anthony Anderson",4 nominations.,N/A,"USA, Canada",Andrzej Bartkowiak,N/A,"Action, Crime, Thriller",tt0242445,5.6,"31,697",English,39,"Orin Boyd, a tough cop in an inner-city precinct discovers a web of dirty cops and corruption.",https://m.media-amazon.com/images/M/MV5BMTMxNTQ5MjIwOF5BMl5BanBnXkFtZTYwNDMzODc3._V1_SX300.jpg,"Silver Pictures, Village Roadshow Entertainment, NPV Entertainment",R,"[{'source': 'Internet Movie Database', 'value': '5.6/10'}, {'source': 'Rotten Tomatoes', 'value': '33%'}, {'source': 'Metacritic', 'value': '39/100'}]",16 Mar 2001,True,101 min,Exit Wounds,,movie,N/A,"Ed Horowitz (screenplay), Richard D'Ovidio (screenplay), John Westermann (novel)",2001
82,"Bruce Greenwood, Mia Kirshner, Don McKellar, Elias Koteas",15 wins & 11 nominations.,N/A,Canada,Atom Egoyan,N/A,Drama,tt0109759,7.0,"17,823","English, Hebrew",71,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.",https://m.media-amazon.com/images/M/MV5BMGIxN2NiMDYtYjQ0YS00M2ViLTkzYTUtNDdhYWZmOTM0ZmJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Miramax Films, Alliance Entertainment",R,"[{'source': 'Internet Movie Database', 'value': '7.0/10'}, {'source': 'Rotten Tomatoes', 'value': '97%'}, {'source': 'Metacritic', 'value': '71/100'}]",24 Mar 1995,True,103 min,Exotica,,movie,N/A,Atom Egoyan,1994
83,"Gordon Ramsay, Janet Street-Porter",3 nominations.,,UK,N/A,,Documentary,tt0490035,6.9,"1,454",English,N/A,"A topical weekly show hosted by Gordon Ramsay, aided and abetted by restaurant critic Giles Coren.",https://m.media-amazon.com/images/M/MV5BMTQyMTU0MTg5N15BMl5BanBnXkFtZTcwNDMyNzkyMg@@._V1_SX300.jpg,,N/A,"[{'source': 'Internet Movie Database', 'value': '6.9/10'}, {'source': 'Rotten Tomatoes', 'value': '79%'}]",27 Oct 2005,True,48 min,The F Word,5,series,,N/A,2005–
84,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",4 wins & 12 nominations.,N/A,"USA, Germany",Tim Story,N/A,"Action, Adventure, Fantasy, Sci-Fi",tt0120667,5.7,"309,253",English,40,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",https://m.media-amazon.com/images/M/MV5BNWU1ZjFjMTctYjA5ZC00YTBkLTkzZjUtZWEyMjgxY2MxYWM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"1492 Pictures, 20th Century Fox, Marvel Enterprises",PG-13,"[{'source': 'Internet Movie Database', 'value': '5.7/10'}, {'source': 'Rotten Tomatoes', 'value': '27%'}, {'source': 'Metacritic', 'value': '40/100'}]",08 Jul 2005,True,106 min,Fantastic Four,,movie,N/A,"Mark Frost, Michael France, Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)",2005
85,"Drew Barrymore, Jimmy Fallon, Jason Spevack, Jack Kehler",9 nominations.,N/A,"USA, Germany","Bobby Farrelly, Peter Farrelly",N/A,"Comedy, Drama, Romance, Sport",tt0332047,6.2,"41,963",English,56,Lindsay is stuck in the middle of her relationship with Ben and his passion for the Boston Red Sox.,https://m.media-amazon.com/images/M/MV5BMTMyNTE4ODA2N15BMl5BanBnXkFtZTcwNzg5ODUyMw@@._V1_SX300.jpg,Fox 2000 Pictures,PG-13,"[{'source': 'Internet Movie Database', 'value': '6.2/10'}, {'source': 'Rotten Tomatoes', 'value': '65%'}, {'source': 'Metacritic', 'value': '56/100'}]",08 Apr 2005,True,104 min,Fever Pitch,,movie,N/A,"Lowell Ganz (screenplay), Babaloo Mandel (screenplay), Nick Hornby (novel)",2005
86,"Sean Connery, Rob Brown, F. Murray Abraham, Anna Paquin",5 wins & 13 nominations.,N/A,USA,Gus Van Sant,N/A,Drama,tt0181536,7.3,"81,835","English, German",62,A young writing prodigy finds a mentor in a reclusive author.,https://m.media-amazon.com/images/M/MV5BMTk5MjQ4MjcyOF5BMl5BanBnXkFtZTYwNTMzODg2._V1_SX300.jpg,"Columbia Pictures, Fountainbridge Films, Laurence Mark Productions",PG-13,"[{'source': 'Internet Movie Database', 'value': '7.3/10'}, {'source': 'Rotten Tomatoes', 'value': '74%'}, {'source': 'Metacritic', 'value': '62/100'}]",12 Jan 2001,True,136 min,Finding Forrester,,movie,N/A,Mike Rich,2000
87,"Josh Hutcherson, Bruce Greenwood, Bill Nunn, Scotch Ellis Loring",2 nominations.,N/A,"USA, Canada",Todd Holland,N/A,"Action, Comedy, Family",tt0476995,5.5,"5,477",English,43,"Rexxx, Hollywood's top canine star, gets lost and is adopted into a shabby firehouse. He teams up with a young kid to get the station back on its feet.",https://m.media-amazon.com/images/M/MV5BMTkyMDczNjYwMl5BMl5BanBnXkFtZTcwNzcxNzI0MQ@@._V1_SX300.jpg,New Regency Pictures,PG,"[{'source': 'Internet Movie Database', 'value': '5.5/10'}, {'source': 'Rotten Tomatoes', 'value': '38%'}, {'source': 'Metacritic', 'value': '43/100'}]",04 Apr 2007,True,111 min,Firehouse Dog,,movie,N/A,"Claire-Dee Lim, Mike Werb, Michael Colleary",2007
88,"Greg Kinnear, Tim Eddis, Warren Belle, Karl Pruner",1 win.,N/A,"Canada, USA",Marc Abraham,N/A,"Biography, Drama",tt1054588,7.0,"16,402","English, Spanish",57,Robert Kearns takes on the Detroit automakers who he claims stole his idea for the intermittent windshield wiper.,https://m.media-amazon.com/images/M/MV5BMTI5MDI0NDAxOV5BMl5BanBnXkFtZTcwNzk4ODk3MQ@@._V1_SX300.jpg,"Strike Entertainment, Barber-Birnbaum",PG-13,"[{'source': 'Internet Movie Database', 'value': '7.0/10'}, {'source': 'Rotten Tomatoes', 'value': '61%'}, {'source': 'Metacritic', 'value': '57/100'}]",03 Oct 2008,True,119 min,Flash of Genius,,movie,N/A,"Philip Railsback, John Seabrook (article)",2008
89,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel",Won 1 Oscar. Another 6 wins & 10 nominations.,N/A,"USA, UK, Canada",David Cronenberg,N/A,"Drama, Horror, Sci-Fi",tt0091064,7.6,"156,893",English,79,A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.,https://m.media-amazon.com/images/M/MV5BODcxMGMwOGEtMDUxMi00MzE5LTg4YTYtYjk1YjA4MzQxNTNlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,SLM Production Group,R,"[{'source': 'Internet Movie Database', 'value': '7.6/10'}, {'source': 'Rotten Tomatoes', 'value': '92%'}, {'source': 'Metacritic', 'value': '79/100'}]",15 Aug 1986,True,96 min,The Fly,,movie,N/A,"George Langelaan (short story), Charles Edward Pogue (screenplay), David Cronenberg (screenplay)",1986
90,"Jeff Daniels, Anna Paquin, Dana Delany, Terry Kinney",Nominated for 1 Oscar. Another 5 wins & 6 nominations.,N/A,USA,Carroll Ballard,N/A,"Adventure, Drama, Family",tt0116329,6.8,"23,249",English,N/A,A father and daughter decide to attempt to lead a flock of orphaned Canada Geese south by air.,https://m.media-amazon.com/images/M/MV5BMTA0OTE5MDQ0NTBeQTJeQWpwZ15BbWU4MDI5OTc3NTMx._V1_SX300.jpg,Columbia Pictures Corporation,PG,"[{'source': 'Internet Movie Database', 'value': '6.8/10'}, {'source': 'Rotten Tomatoes', 'value': '87%'}]",13 Sep 1996,True,107 min,Fly Away Home,,movie,N/A,"Bill Lishman (autobiography), Robert Rodat (screenplay), Vince McKewin (screenplay)",1996
91,"Ryan Reynolds, Kristin Booth, Joris Jarsky, Sean Sullivan",N/A,N/A,Canada,William Phillips,N/A,"Action, Comedy, Crime, Thriller",tt0356614,6.5,"9,624",English,N/A,"Kevin, Sam and Rob are founding members of a theoretical group which pulls off heists. Leo, a gangster, blackmails them into pulling off a real multi-million dollar heist. Now it's up to them to get out alive.",https://m.media-amazon.com/images/M/MV5BMzg4OWNiZmQtNTgzNC00OTBjLTkxYzEtZmQ1ZGU0NTI0Y2Q2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Alliance Atlantis Communications,R,"[{'source': 'Internet Movie Database', 'value': '6.5/10'}, {'source': 'Rotten Tomatoes', 'value': '63%'}]",03 Oct 2003,True,94 min,Foolproof,,movie,N/A,William Phillips,2003
92,"Matthew Perry, Salma Hayek, Jon Tenney, Carlos Gómez",3 nominations.,N/A,USA,Andy Tennant,N/A,"Comedy, Drama, Romance",tt0119141,6.1,"32,207","English, Spanish",37,"After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.",https://m.media-amazon.com/images/M/MV5BM2Q3MzA3YmYtNzUzNS00NDhhLTkyZmYtMDU2YmE1ODY5MjdmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Columbia Pictures Corporation,PG-13,"[{'source': 'Internet Movie Database', 'value': '6.1/10'}, {'source': 'Rotten Tomatoes', 'value': '32%'}, {'source': 'Metacritic', 'value': '37/100'}]",14 Feb 1997,True,109 min,Fools Rush In,,movie,N/A,"Joan Taylor (story), Katherine Reback (story), Katherine Reback (screenplay)",1997
93,"Mark Wahlberg, Tyrese Gibson, André Benjamin, Garrett Hedlund",5 wins & 9 nominations.,N/A,USA,John Singleton,22 Jun 2010,"Action, Crime, Drama, Mystery, Thriller",tt0430105,6.8,"132,874",English,49,"When their adoptive mother is gunned down in a store robbery the 'four brothers' investigate the murder for themselves & look for the killers, but not all is what it seems.",https://m.media-amazon.com/images/M/MV5BMTU4NzM3Njg2NV5BMl5BanBnXkFtZTcwNjU4NDczMw@@._V1_SX300.jpg,The Orchard,R,"[{'source': 'Internet Movie Database', 'value': '6.8/10'}, {'source': 'Metacritic', 'value': '49/100'}]",01 Jul 2005,True,109 min,Four Brothers,,movie,N/A,"David Elliot, Paul Lovett",2005
94,"Robert Englund, Ken Kirzinger, Monica Keena, Jason Ritter",2 wins & 11 nominations.,N/A,"Canada, USA",Ronny Yu,N/A,"Action, Horror",tt0329101,5.7,"109,925",English,37,"Freddy Krueger and Jason Voorhees return to terrorize the teenage population. Except this time, they're out to get each other, too.",https://m.media-amazon.com/images/M/MV5BODNlNWVjOTMtZjVjYy00MzRjLTg2MmQtNTM3MWVmZjFjYzgwXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,"WTC Productions, New Line Cinema, Sean S. Cunningham Films, Avery Pix, Yannix Technology Corp.",R,"[{'source': 'Internet Movie Database', 'value': '5.7/10'}, {'source': 'Rotten Tomatoes', 'value': '41%'}, {'source': 'Metacritic', 'value': '37/100'}]",15 Aug 2003,True,97 min,Freddy vs. Jason,,movie,N/A,"Wes Craven (characters), Victor Miller (characters), Damian Shannon, Mark Swift",2003
95,"Bella Thorne, Zendaya, Mary Mouser, Nick Robinson",3 nominations.,N/A,USA,Daisy von Scherler Mayer,N/A,"Comedy, Drama, Family",tt1865368,5.0,"4,083",English,N/A,Three sets of friends deal with the ups and downs of their ever-changing relationships.,https://m.media-amazon.com/images/M/MV5BMWI4MDc3NTYtOTkwMS00ZDE3LWJiZDUtM2ZjNWExNmRkNDc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTEwMTkwOTI@._V1_SX300.jpg,"Alloy Entertainment, Disney Channel",TV-G,"[{'source': 'Internet Movie Database', 'value': '5.0/10'}, {'source': 'Rotten Tomatoes', 'value': '43%'}]",13 Jan 2012,True,87 min,Frenemies,,movie,N/A,"Alexa Young (based on a novel by), Dava Savel (teleplay), Wendy Weiner (teleplay), Dava Savel (teleplay), James Krieg (teleplay), James Krieg (television story), Dava Savel (television story)",2012
96,"Dennis Quaid, Jim Caviezel, Shawn Doyle, Elizabeth Mitchell",Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.,N/A,USA,Gregory Hoblit,N/A,"Crime, Drama, Mystery, Sci-Fi, Thriller",tt0186151,7.3,"100,199",English,67,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",https://m.media-amazon.com/images/M/MV5BMTI4NTgyOTIxN15BMl5BanBnXkFtZTYwMTUwODY3._V1_SX300.jpg,New Line Cinema,PG-13,"[{'source': 'Internet Movie Database', 'value': '7.3/10'}, {'source': 'Rotten Tomatoes', 'value': '70%'}, {'source': 'Metacritic', 'value': '67/100'}]",28 Apr 2000,True,118 min,Frequency,,movie,N/A,Toby Emmerich,2000
97,"David Duchovny, Nicky Katt, Catherine Keener, Mary McCormack",1 nomination.,N/A,USA,Steven Soderbergh,N/A,"Comedy, Romance",tt0290212,4.7,"9,404",English,45,"A day in the life of a group of men and women in Hollywood, in the hours leading up to a friend's birthday party.",https://m.media-amazon.com/images/M/MV5BZWY5YjJhYWMtYWMwOC00NjU3LThhMmMtYTg4YmE0Y2FhZDdhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"Miramax Films, Section Eight Ltd., Propaganda Films",R,"[{'source': 'Internet Movie Database', 'value': '4.7/10'}, {'source': 'Rotten Tomatoes', 'value': '39%'}, {'source': 'Metacritic', 'value': '45/100'}]",02 Aug 2002,True,101 min,Full Frontal,,movie,N/A,Coleman Hough,2002
98,"50 Cent, Adewale Akinnuoye-Agbaje, Joy Bryant, Omar Benson Miller",6 wins & 3 nominations.,N/A,"USA, Canada",Jim Sheridan,N/A,"Biography, Crime, Drama, Music",tt0430308,5.4,"43,705","English, Spanish",45,"A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.",https://m.media-amazon.com/images/M/MV5BMTI4NTE0MTU2N15BMl5BanBnXkFtZTYwNzQ1OTc2._V1_SX300.jpg,"Paramount Pictures, MTV Films",R,"[{'source': 'Internet Movie Database', 'value': '5.4/10'}, {'source': 'Rotten Tomatoes', 'value': '16%'}, {'source': 'Metacritic', 'value': '45/100'}]",09 Nov 2005,True,117 min,Get Rich or Die Tryin',,movie,N/A,Terence Winter,2005
99,"Emily Perkins, Katharine Isabelle, Kris Lemche, Mimi Rogers",10 wins & 9 nominations.,N/A,Canada,John Fawcett,N/A,"Drama, Fantasy, Horror",tt0210070,6.8,"41,623",English,70,"Two death-obsessed sisters, outcasts in their suburban neighborhood, must deal with the tragic consequences when one of them is bitten by a deadly werewolf.",https://m.media-amazon.com/images/M/MV5BMjY4OWNjYWQtODM2NC00MDk3LTgzMDgtM2QzZWFmYTNlNDk2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"TVA International, Lions Gate Entertainment, Oddbod Productions Inc., Copper Heart Entertainment, Walter Pictures",Not Rated,"[{'source': 'Internet Movie Database', 'value': '6.8/10'}, {'source': 'Rotten Tomatoes', 'value': '89%'}, {'source': 'Metacritic', 'value': '70/100'}]",11 May 2001,True,108 min,Ginger Snaps,,movie,N/A,"Karen Walton (story), John Fawcett (story), Karen Walton",2000
100,"Mariah Carey, Max Beesley, Da Brat, Tia Texada",3 wins & 10 nominations.,N/A,USA,Vondie Curtis-Hall,N/A,"Drama, Music, Romance",tt0118589,2.3,"21,369",English,14,"A young singer dates a disc jockey who helps her get into the music business, but their relationship become complicated as she ascends to super stardom.",https://m.media-amazon.com/images/M/MV5BMGJkN2IxNTYtZDE1OS00MWJhLWFhNzItNTZkMjM4OGUzMTE2L2ltYWdlXkEyXkFqcGdeQXVyNTg3MTc4ODY@._V1_SX300.jpg,"Glitter Productions, Laurence Mark Productions, Columbia Pictures Film Production Asia, Twentieth Century Fox, Maroon Entertainment",PG-13,"[{'source': 'Internet Movie Database', 'value': '2.3/10'}, {'source': 'Rotten Tomatoes', 'value': '6%'}, {'source': 'Metacritic', 'value': '14/100'}]",21 Sep 2001,True,104 min,Glitter,,movie,N/A,"Cheryl L. West (story), Kate Lanier (screenplay)",2001
